,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,audio_features,24LS4lQShWyixJ0ZrJXfJ5,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,https://api.spotify.com/v1/tracks/24LS4lQShWyixJ0ZrJXfJ5,https://api.spotify.com/v1/audio-analysis/24LS4lQShWyixJ0ZrJXfJ5,212560,4
1,0.613,0.697,2,-8.618,1,0.133,0.0194,0.0,0.332,0.476,122.746,audio_features,0DiWol3AO6WpXZgp0goxAV,spotify:track:0DiWol3AO6WpXZgp0goxAV,https://api.spotify.com/v1/tracks/0DiWol3AO6WpXZgp0goxAV,https://api.spotify.com/v1/audio-analysis/0DiWol3AO6WpXZgp0goxAV,320357,4
2,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,audio_features,09IStsImFySgyp0pIQdqAc,spotify:track:09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,184732,4
3,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,audio_features,0U10zFw4GlBacOy9VDGfGL,spotify:track:0U10zFw4GlBacOy9VDGfGL,https://api.spotify.com/v1/tracks/0U10zFw4GlBacOy9VDGfGL,https://api.spotify.com/v1/audio-analysis/0U10zFw4GlBacOy9VDGfGL,215227,4
4,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,audio_features,05SBRd4fXgn8FX7bf8BCAE,spotify:track:05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/audio-analysis/05SBRd4fXgn8FX7bf8BCAE,234507,4
5,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,audio_features,7MmG8p0F9N3C4AXdK6o6Eb,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267,4
6,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,audio_features,6uBhi9gBXWjanegOb2Phh0,spotify:track:6uBhi9gBXWjanegOb2Phh0,https://api.spotify.com/v1/tracks/6uBhi9gBXWjanegOb2Phh0,https://api.spotify.com/v1/audio-analysis/6uBhi9gBXWjanegOb2Phh0,210091,4
7,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,audio_features,0azC730Exh71aQlOt9Zj3y,spotify:track:0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,222160,4
8,0.665,0.727,7,-6.57,0,0.103,0.032,1.02e-05,0.0873,0.66,101.976,audio_features,62UAFVREdTssSevwa5jqhF,spotify:track:62UAFVREdTssSevwa5jqhF,https://api.spotify.com/v1/tracks/62UAFVREdTssSevwa5jqhF,https://api.spotify.com/v1/audio-analysis/62UAFVREdTssSevwa5jqhF,197933,4
9,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,audio_features,07nH4ifBxUB4lZcsf44Brn,spotify:track:07nH4ifBxUB4lZcsf44Brn,https://api.spotify.com/v1/tracks/07nH4ifBxUB4lZcsf44Brn,https://api.spotify.com/v1/audio-analysis/07nH4ifBxUB4lZcsf44Brn,212960,4
10,0.578,0.946,11,-3.85,0,0.0482,0.00225,0.00412,0.0966,0.588,126.092,audio_features,57yeWyaoeTt26p0dlEZukQ,spotify:track:57yeWyaoeTt26p0dlEZukQ,https://api.spotify.com/v1/tracks/57yeWyaoeTt26p0dlEZukQ,https://api.spotify.com/v1/audio-analysis/57yeWyaoeTt26p0dlEZukQ,218190,4
11,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,audio_features,1Lim1Py7xBgbAkAys3AGAG,spotify:track:1Lim1Py7xBgbAkAys3AGAG,https://api.spotify.com/v1/tracks/1Lim1Py7xBgbAkAys3AGAG,https://api.spotify.com/v1/audio-analysis/1Lim1Py7xBgbAkAys3AGAG,176561,4
12,0.675,0.868,1,-6.36,1,0.0392,0.00107,0.715,0.374,0.0376,128.007,audio_features,1TWfkGrhF7ob0nwB2M6knb,spotify:track:1TWfkGrhF7ob0nwB2M6knb,https://api.spotify.com/v1/tracks/1TWfkGrhF7ob0nwB2M6knb,https://api.spotify.com/v1/audio-analysis/1TWfkGrhF7ob0nwB2M6knb,304229,4
13,0.632,0.88,2,-4.051,1,0.0463,0.0144,0.0021,0.118,0.338,129.007,audio_features,043bfUkTydw0xJ5JjOT91w,spotify:track:043bfUkTydw0xJ5JjOT91w,https://api.spotify.com/v1/tracks/043bfUkTydw0xJ5JjOT91w,https://api.spotify.com/v1/audio-analysis/043bfUkTydw0xJ5JjOT91w,403493,4
14,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,audio_features,23L5CiUhw2jV1OIMwthR3S,spotify:track:23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,195707,4
15,0.458,0.696,11,-4.742,1,0.0402,0.285,0.0,0.123,0.418,174.141,audio_features,4B2kkxg3wKSTZw5JPaUtzQ,spotify:track:4B2kkxg3wKSTZw5JPaUtzQ,https://api.spotify.com/v1/tracks/4B2kkxg3wKSTZw5JPaUtzQ,https://api.spotify.com/v1/audio-analysis/4B2kkxg3wKSTZw5JPaUtzQ,207069,4
16,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,audio_features,22mek4IiqubGD9ctzxc69s,spotify:track:22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s,212640,4
17,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,audio_features,1gihuPhrLraKYrJMAEONyc,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc,206413,4
18,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,audio_features,4RXpgGM7A4Hg7cFBoH5KyF,spotify:track:4RXpgGM7A4Hg7cFBoH5KyF,https://api.spotify.com/v1/tracks/4RXpgGM7A4Hg7cFBoH5KyF,https://api.spotify.com/v1/audio-analysis/4RXpgGM7A4Hg7cFBoH5KyF,255093,4
19,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,audio_features,3MEYFivt6bilQ9q9mFWZ4g,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/tracks/3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/audio-analysis/3MEYFivt6bilQ9q9mFWZ4g,273803,4
20,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,audio_features,698ItKASDavgwZ3WjaWjtz,spotify:track:698ItKASDavgwZ3WjaWjtz,https://api.spotify.com/v1/tracks/698ItKASDavgwZ3WjaWjtz,https://api.spotify.com/v1/audio-analysis/698ItKASDavgwZ3WjaWjtz,212107,4
21,0.674,0.857,6,-5.328,1,0.0346,0.0557,0.196,0.0942,0.278,117.028,audio_features,6aqNCrRA7vs7v6QvRpI50t,spotify:track:6aqNCrRA7vs7v6QvRpI50t,https://api.spotify.com/v1/tracks/6aqNCrRA7vs7v6QvRpI50t,https://api.spotify.com/v1/audio-analysis/6aqNCrRA7vs7v6QvRpI50t,285854,4
22,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,audio_features,6RUKPb4LETWmmr3iAEQktW,spotify:track:6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,247160,4
23,0.738,0.541,8,-5.597,1,0.0303,0.415,0.0,0.11,0.657,94.949,audio_features,7crMiinWx373rNBZBaVske,spotify:track:7crMiinWx373rNBZBaVske,https://api.spotify.com/v1/tracks/7crMiinWx373rNBZBaVske,https://api.spotify.com/v1/audio-analysis/7crMiinWx373rNBZBaVske,245507,4
24,0.401,0.872,1,-3.641,0,0.314,0.167,0.0,0.362,0.472,104.592,audio_features,7dOeiXeTSfA1ixaYmQcWu7,spotify:track:7dOeiXeTSfA1ixaYmQcWu7,https://api.spotify.com/v1/tracks/7dOeiXeTSfA1ixaYmQcWu7,https://api.spotify.com/v1/audio-analysis/7dOeiXeTSfA1ixaYmQcWu7,201257,4
25,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,spotify:track:0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427,4
26,0.389,0.634,4,-6.362,0,0.137,0.017,0.0,0.101,0.27,169.539,audio_features,1285n66OGGUB3Bnh6c18nS,spotify:track:1285n66OGGUB3Bnh6c18nS,https://api.spotify.com/v1/tracks/1285n66OGGUB3Bnh6c18nS,https://api.spotify.com/v1/audio-analysis/1285n66OGGUB3Bnh6c18nS,191808,4
27,0.491,0.688,2,-6.05,1,0.0453,0.0849,0.0,0.111,0.279,140.072,audio_features,5xS9R5yNeVsB9shSR60eX3,spotify:track:5xS9R5yNeVsB9shSR60eX3,https://api.spotify.com/v1/tracks/5xS9R5yNeVsB9shSR60eX3,https://api.spotify.com/v1/audio-analysis/5xS9R5yNeVsB9shSR60eX3,241653,4
28,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,audio_features,3eR23VReFzcdmS7TYCrhCe,spotify:track:3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe,220781,4
29,0.673,0.914,10,-3.962,1,0.0496,0.229,0.000478,0.186,0.183,97.021,audio_features,3LlmKSHR3Rs0Y3KHQLAYDk,spotify:track:3LlmKSHR3Rs0Y3KHQLAYDk,https://api.spotify.com/v1/tracks/3LlmKSHR3Rs0Y3KHQLAYDk,https://api.spotify.com/v1/audio-analysis/3LlmKSHR3Rs0Y3KHQLAYDk,160427,4
30,0.575,0.571,1,-7.906,1,0.0439,0.0558,0.0,0.0912,0.449,105.049,audio_features,4NBTZtAt1F13VvlSKe6KTl,spotify:track:4NBTZtAt1F13VvlSKe6KTl,https://api.spotify.com/v1/tracks/4NBTZtAt1F13VvlSKe6KTl,https://api.spotify.com/v1/audio-analysis/4NBTZtAt1F13VvlSKe6KTl,197947,4
31,0.76,0.303,2,-11.362,1,0.0284,0.238,8.09e-06,0.294,0.15,99.991,audio_features,0wfbD5rAksdXUzRvMfM3x5,spotify:track:0wfbD5rAksdXUzRvMfM3x5,https://api.spotify.com/v1/tracks/0wfbD5rAksdXUzRvMfM3x5,https://api.spotify.com/v1/audio-analysis/0wfbD5rAksdXUzRvMfM3x5,177573,4
32,0.528,0.511,3,-8.144,1,0.0324,0.126,0.0,0.101,0.351,100.1,audio_features,3g0mEQx3NTanacLseoP0Gw,spotify:track:3g0mEQx3NTanacLseoP0Gw,https://api.spotify.com/v1/tracks/3g0mEQx3NTanacLseoP0Gw,https://api.spotify.com/v1/audio-analysis/3g0mEQx3NTanacLseoP0Gw,209880,4
33,0.507,0.729,11,-5.399,0,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013,audio_features,6GyFP1nfCDB8lbD2bG0Hq9,spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,https://api.spotify.com/v1/tracks/6GyFP1nfCDB8lbD2bG0Hq9,https://api.spotify.com/v1/audio-analysis/6GyFP1nfCDB8lbD2bG0Hq9,243960,4
34,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658,4
35,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,222533,4
36,0.474,0.622,4,-6.381,0,0.061,0.0129,3.82e-06,0.327,0.158,176.062,audio_features,1tfVpMI8G6EakZU4rEja4w,spotify:track:1tfVpMI8G6EakZU4rEja4w,https://api.spotify.com/v1/tracks/1tfVpMI8G6EakZU4rEja4w,https://api.spotify.com/v1/audio-analysis/1tfVpMI8G6EakZU4rEja4w,187800,4
37,0.733,0.777,11,-7.076,0,0.0347,0.436,0.0716,0.102,0.583,119.996,audio_features,0z8yrlXSjnI29Rv30RssNI,spotify:track:0z8yrlXSjnI29Rv30RssNI,https://api.spotify.com/v1/tracks/0z8yrlXSjnI29Rv30RssNI,https://api.spotify.com/v1/audio-analysis/0z8yrlXSjnI29Rv30RssNI,190999,4
38,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,audio_features,2ISSQPb9LHHiV6ng2NXosL,spotify:track:2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/tracks/2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/audio-analysis/2ISSQPb9LHHiV6ng2NXosL,218293,4
39,0.537,0.918,8,-4.659,1,0.0584,0.00655,0.0156,0.13,0.178,127.981,audio_features,199bdfd1zEqtGH82ywjepA,spotify:track:199bdfd1zEqtGH82ywjepA,https://api.spotify.com/v1/tracks/199bdfd1zEqtGH82ywjepA,https://api.spotify.com/v1/audio-analysis/199bdfd1zEqtGH82ywjepA,253989,4
40,0.43,0.606,4,-5.115,0,0.0431,0.131,0.0,0.173,0.123,169.988,audio_features,6SRWhUJcD2YKahCwHavz3X,spotify:track:6SRWhUJcD2YKahCwHavz3X,https://api.spotify.com/v1/tracks/6SRWhUJcD2YKahCwHavz3X,https://api.spotify.com/v1/audio-analysis/6SRWhUJcD2YKahCwHavz3X,211680,4
41,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,audio_features,0tBbt8CrmxbjRP0pueQkyU,spotify:track:0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,197993,4
42,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,audio_features,6PUIzlqotEmPuBfjbwYWOB,spotify:track:6PUIzlqotEmPuBfjbwYWOB,https://api.spotify.com/v1/tracks/6PUIzlqotEmPuBfjbwYWOB,https://api.spotify.com/v1/audio-analysis/6PUIzlqotEmPuBfjbwYWOB,214912,4
43,0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,audio_features,1trC8L8YpawkU553ymy2zC,spotify:track:1trC8L8YpawkU553ymy2zC,https://api.spotify.com/v1/tracks/1trC8L8YpawkU553ymy2zC,https://api.spotify.com/v1/audio-analysis/1trC8L8YpawkU553ymy2zC,205440,4
44,0.671,0.828,9,-2.907,1,0.053,0.00304,0.00287,0.352,0.57,127.976,audio_features,59mrqUmhpmcfUns8BKkV30,spotify:track:59mrqUmhpmcfUns8BKkV30,https://api.spotify.com/v1/tracks/59mrqUmhpmcfUns8BKkV30,https://api.spotify.com/v1/audio-analysis/59mrqUmhpmcfUns8BKkV30,288880,4
45,0.276,0.796,0,-4.499,1,0.0579,0.00293,0.0,0.184,0.26,199.526,audio_features,2CgOd0Lj5MuvOqzqdaAXtS,spotify:track:2CgOd0Lj5MuvOqzqdaAXtS,https://api.spotify.com/v1/tracks/2CgOd0Lj5MuvOqzqdaAXtS,https://api.spotify.com/v1/audio-analysis/2CgOd0Lj5MuvOqzqdaAXtS,218965,4
46,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,audio_features,3FtYbEfBqAlGO46NUDQSAt,spotify:track:3FtYbEfBqAlGO46NUDQSAt,https://api.spotify.com/v1/tracks/3FtYbEfBqAlGO46NUDQSAt,https://api.spotify.com/v1/audio-analysis/3FtYbEfBqAlGO46NUDQSAt,229640,3
